Date,Adj Close,Close,High,Low,Open,Volume
2025-11-17,142.0,142.0,180.0,132.5,160.0,939250
2025-11-18,170.0,170.0,180.0,134.0,135.0,945616
2025-11-19,166.0,166.0,173.5,161.5,165.0,465234
2025-11-20,180.0,180.0,182.0,163.5,169.0,776250
2025-11-21,194.5,194.5,196.0,174.0,176.0,840033
2025-11-24,213.5,213.5,213.5,193.5,193.5,446000
2025-11-25,234.5,234.5,234.5,234.0,234.0,216000
2025-11-26,234.0,234.0,252.0,216.5,250.5,900633
2025-11-27,257.0,257.0,257.0,222.5,229.5,689687
2025-11-28,241.0,241.0,257.0,240.0,251.0,606155
2025-12-01,221.0,221.0,237.0,217.0,232.0,709535
2025-12-02,210.0,210.0,225.0,202.0,225.0,475139
2025-12-03,218.5,218.5,223.0,207.0,211.0,401350
2025-12-04,202.0,202.0,219.0,201.0,219.0,329101
2025-12-05,216.5,216.5,222.0,188.5,198.0,562005
2025-12-08,238.0,238.0,238.0,212.0,221.0,581455
2025-12-09,261.5,261.5,261.5,242.0,242.5,768450
2025-12-10,275.0,275.0,287.5,251.5,261.5,918420
2025-12-11,266.5,266.5,275.0,263.0,272.5,541124
2025-12-12,293.0,293.0,293.0,268.0,275.0,917403
2025-12-15,322.0,322.0,322.0,300.0,310.5,582000
2025-12-16,354.0,354.0,354.0,294.0,333.5,1723151
2025-12-17,319.0,319.0,345.0,319.0,345.0,827100
2025-12-18,300.0,300.0,323.0,290.0,294.0,708229
2025-12-19,313.0,313.0,314.0,299.0,305.0,526098
2025-12-22,343.0,343.0,344.0,316.0,323.0,688509
2025-12-23,365.0,365.0,370.0,343.5,343.5,668116
2025-12-24,373.0,373.0,380.0,352.0,365.0,560700
2025-12-26,402.0,402.0,402.0,371.0,378.0,499338
2025-12-29,405.0,405.0,417.0,398.0,408.5,422277
2025-12-30,392.0,392.0,400.0,389.0,389.0,436500
2025-12-31,360.5,360.5,382.5,360.5,373.0,297714
2026-01-02,389.5,389.5,389.5,360.0,361.0,230151
2026-01-05,386.0,386.0,393.0,380.0,392.5,173183
2026-01-06,390.0,390.0,394.0,383.5,394.0,115037
2026-01-07,388.0,388.0,396.0,380.0,390.0,160100
2026-01-08,380.5,380.5,390.0,380.0,388.0,87036
2026-01-09,374.0,374.0,383.0,370.0,383.0,108173
2026-01-12,411.0,411.0,411.0,392.5,392.5,337121
2026-01-13,416.5,416.5,423.0,398.0,420.0,209503
2026-01-14,436.0,436.0,457.0,423.0,423.0,191785
2026-01-15,479.5,479.5,479.5,440.5,477.0,2321040
2026-01-16,460.0,460.0,495.0,460.0,478.0,1602530
2026-01-19,464.0,464.0,494.5,450.5,450.5,967342
2026-01-20,467.0,467.0,483.0,460.5,468.0,620232
2026-01-21,470.0,470.0,473.0,437.0,465.0,1113243
2026-01-22,482.5,482.5,501.0,477.5,492.5,1068314
2026-01-23,530.0,530.0,530.0,490.0,494.5,1324862
2026-01-26,583.0,583.0,583.0,561.0,567.0,547010
2026-01-27,594.0,594.0,617.0,567.0,605.0,1959421
2026-01-28,606.0,606.0,614.0,595.0,611.0,971232
2026-01-29,573.0,573.0,588.0,546.0,588.0,244272
2026-01-30,565.0,565.0,568.0,534.0,568.0,179077
2026-02-02,589.0,589.0,598.0,565.0,568.0,159169
2026-02-03,603.0,603.0,610.0,581.0,610.0,117270
2026-02-04,657.0,657.0,663.0,610.0,615.0,250144
2026-02-05,615.0,615.0,640.0,592.0,635.0,131015
2026-02-06,592.0,592.0,600.0,554.0,585.0,129337
2026-02-09,606.0,606.0,635.0,605.0,635.0,78032
2026-02-10,580.0,580.0,600.0,551.0,551.0,132081
2026-02-11,631.0,631.0,631.0,580.0,599.0,197614
2026-02-23,692.0,692.0,694.0,652.0,657.0,875483
2026-02-24,761.0,761.0,761.0,710.0,710.0,891101
2026-02-25,770.0,770.0,820.0,755.0,800.0,1328529
2026-02-26,829.0,829.0,840.0,780.0,780.0,944546
2026-03-02,885.0,885.0,910.0,780.0,807.0,1141764
2026-03-03,797.0,797.0,865.0,797.0,865.0,194232
2026-03-04,718.0,718.0,718.0,718.0,718.0,85149
2026-03-05,647.0,647.0,775.0,647.0,745.0,229841
2026-03-06,658.0,658.0,680.0,583.0,625.0,370337
2026-03-09,593.0,593.0,593.0,593.0,593.0,45491
